Protein.Accession.	GN	GN	Pr0B_0h1	ProB_0h2	Pr0B_1h1	Pr0B_1h2	Pr0B_4h1	Pr0B_4h2	Pr0B_16h1	Pr0B_16h2
tr|E9QMK9|E9QMK9_MOUSE	9030617O03Rik	9030617O03Rik	85167.98164	87869.17146	86204.07925	86601.22848	84588.45025	84454.45516	71924.80031	69718.29705
tr|E9Q7Y4|E9Q7Y4_MOUSE	A430078G23Rik	A430078G23Rik	109427.8907	112900.975	101056.6594	113133.357	115558.7037	107449.1169	82119.64555	86324.37899
sp|Q64343|ABCG1_MOUSE	Abcg1	Abcg1	128965.7511	117300.8848	129490.1092	122656.407	139222.967	141104.9594	105450.2522	105633.0959
sp|Q8BYZ1|ABI3_MOUSE	Abi3	Abi3	168540.1677	166249.1017	170430.9022	167381.6374	163869.2508	171087.1642	140716.1236	136571.5932
sp|Q7TPR4|ACTN1_MOUSE	Actn1	Actn1	13207448.15	14049343	13917518.84	14497108.78	13291244.78	12875665.98	10514137.13	10287920.33
sp|O88990|ACTN3_MOUSE	Actn3	Actn3	4603711.256	4802821	5190830.578	5428332.794	4627039.069	4390824.558	4286978.17	4210829.558
sp|Q8CHC8|ADNP2_MOUSE	Adnp2	Adnp2	96846.89466	96616.63457	99738.08758	108063.2379	87279.85594	92686.25832	88669.01324	81726.64157
sp|Q9D517|PLCC_MOUSE	Agpat3	Agpat3	73807.8349	75242.11959	75901.92054	78237.31504	71980.43098	79068.00536	63263.83355	62133.5666
sp|Q641K1|CBPC1_MOUSE	Agtpbp1	Agtpbp1	12476.02778	14495.83431	14514.88187	15263.2567	14128.81657	13263.41545	10978.06944	11734.252
tr|E9Q616|E9Q616_MOUSE	Ahnak	Ahnak	540158.224	608810.8818	563233.0044	584934.2334	565058.3118	496541.4157	368365.1135	377102.1447
tr|E9PVP1|E9PVP1_MOUSE	Aim1	Aim1	413984.4836	389856.029	476142.3638	454478.5533	429894.3757	428410.1513	347393.9515	363403.5557
sp|Q8VC28|AK1CD_MOUSE	Akr1c13	Akr1c13	90277.45514	89330.59	92403.74225	89329.42778	80633.74787	85234.08575	67674.58852	69781.17259
sp|Q8R0Y6|AL1L1_MOUSE	Aldh1l1	Aldh1l1	58380.46494	60036.05336	54468.22526	57865.60691	57247.85826	56702.15908	48719.92291	46334.38043
sp|Q80VQ0|AL3B1_MOUSE	Aldh3b1	Aldh3b1	150743.8114	157201.8249	157475.9523	159058.0198	140124.8691	151241.0233	126545.6114	110137.0526
sp|Q9EQ20|MMSA_MOUSE	Aldh6a1	Aldh6a1	66496.32638	63865.41233	62491.83182	59135.21294	68384.2473	62376.2668	52552.35114	47863.93903
sp|P39654|LOX15_MOUSE	Alox15	Alox15	175053.3906	191087.3819	201843.9683	180911.8846	160804.232	155194.649	107340.3097	101293.1262
sp|P30355|AL5AP_MOUSE	Alox5ap	Alox5ap	260144.9525	281504.2094	273779.8493	258874.4576	236497.1988	276838.1801	155970.6719	179000.8571
sp|Q9JJW6|ALRF2_MOUSE	Alyref2	Alyref2	686562.5647	597006.3909	671844.7464	603070.1363	634607.8009	619426.0537	511087.3614	508664.6567
sp|Q9DBA8|HUTI_MOUSE	Amdhd1	Amdhd1	33935.12343	33007.61069	36051.28193	36224.11894	31631.72383	31653.46007	27147.19541	26162.53036
sp|O08739|AMPD3_MOUSE	Ampd3	Ampd3	59368.62584	61299.60852	61700.92682	59131.82895	55399.52592	54174.89456	45848.64287	45433.24025
sp|Q02357|ANK1_MOUSE	Ank1	Ank1	71299.97053	71147.32723	76908.51468	75845.23158	72806.86606	74627.76761	55444.71467	49518.25482
tr|D3Z5M4|D3Z5M4_MOUSE	Ank1	Ank1	71299.97053	71147.32723	76908.51468	75845.23158	72806.86606	74627.76761	55444.71467	49518.25482
sp|P10107|ANXA1_MOUSE	Anxa1	Anxa1	3823279.523	4028705.313	3949352.443	4018674.367	3642103.474	4128510.203	2775327.298	2890060.112
sp|P07356|ANXA2_MOUSE	Anxa2	Anxa2	676973.0752	635669.9262	681033.429	584256.0489	615102.3917	590415.561	413349.0599	353460.6484
sp|O35639|ANXA3_MOUSE	Anxa3	Anxa3	302687.9066	314938.1166	304303.2085	297284.6897	299485.9507	275889.1701	210271.5938	191414.8735
sp|P48036|ANXA5_MOUSE	Anxa5	Anxa5	1533125.353	1555541.614	1503497.679	1492738.031	1417037.169	1407844.039	1078558.83	1036066.382
sp|Q8VBT6|APOBR_MOUSE	Apobr	Apobr	32550.76118	31859.77041	32539.17787	32575.37079	28679.16202	27434.9071	19545.51733	19610.78166
tr|B1AUY3|B1AUY3_MOUSE	Arhgap4	Arhgap4	234455.1315	227250.8744	231385.3422	238654.4662	220396.0512	213440.6057	186620.4706	186955.565
sp|Q6P9R4|ARHGI_MOUSE	Arhgef18	Arhgef18	66887.76597	65687.69448	73588.999	68387.63319	73082.07114	65004.21419	59061.84114	54557.89229
sp|P50429|ARSB_MOUSE	Arsb	Arsb	376338.1919	369731.3343	382494.9063	357734.8364	373283.8302	330855.8309	256027.4195	248206.1195
sp|P98203|ARVC_MOUSE	Arvcf	Arvcf	29095.22757	30816.35761	33279.08553	30435.68868	23002.75452	24581.29037	20777.64379	18875.93058
sp|Q9WV54|ASAH1_MOUSE	Asah1	Asah1	181112.6035	168006.355	158340.9174	174202.9223	173004.6453	178373.1152	131102.1219	131531.5655
sp|Q8BSY0|ASPH_MOUSE	Asph	Asph	126535.7561	124433.0977	130237.949	133583.4626	122128.7444	119252.7839	102658.6978	102704.3456
sp|Q4QY64|ATAD5_MOUSE	Atad5	Atad5	204831.1193	205237.4471	220696.6553	214993.9251	186701.6433	206413.2433	180555.3283	171019.8179
sp|Q64518|AT2A3_MOUSE	Atp2a3	Atp2a3	2065796.698	2007573.351	2069753.661	2125967.542	2008082.526	1949778.907	1723001.958	1677917.765
sp|P70704|AT8A1_MOUSE	Atp8a1	Atp8a1	112722.1657	110857.3523	117232.7549	116288.7565	105617.1902	105458.2496	91998.11431	84812.90034
sp|Q80VH0|BANK1_MOUSE	Bank1	Bank1	28474.84622	29009.78595	27394.00267	29159.1208	27284.06076	24741.9147	18629.76015	18451.13367
sp|O70445|BARD1_MOUSE	Bard1	Bard1	113380.2571	108733.1113	112654.1371	115064.4719	108176.4363	110693.8834	89774.61248	86310.13273
tr|A2AJ30|A2AJ30_MOUSE	BC029214	BC029214	24443.52804	24820.7803	21941.33823	25606.40091	22520.30225	23097.57193	18249.24034	18834.23467
sp|P41183|BCL6_MOUSE	Bcl6	Bcl6	45831.53547	49514.52881	35451.39702	38523.20647	32267.80025	29593.98446	27142.54425	25604.38364
sp|Q6NVD9|BFSP2_MOUSE	Bfsp2	Bfsp2	83552.29117	86862.29497	87145.10627	74212.67502	79538.71477	73751.2893	32816.26894	33785.30901
sp|D3Z6Q9|BIN2_MOUSE	Bin2	Bin2	505802.7727	520212.0384	496194.2426	522806.3288	491408.031	474466.1373	379318.3079	385898.0772
tr|S4R270|S4R270_MOUSE	Bin2	Bin2	501036.8193	516314.9369	495289.9048	522468.4989	490354.1594	476212.01	380122.0501	387541.6492
sp|Q9CY64|BIEA_MOUSE	Blvra	Blvra	640285.5873	612565.7886	636654.5853	621353.2788	580810.299	557704.3623	488661.2465	491074.1752
sp|P48754|BRCA1_MOUSE	Brca1	Brca1	145754.8122	149758.3989	148958.9827	152145.3715	147101.1164	135082.7023	115795.3047	118866.9009
sp|Q5SXJ3|FANCJ_MOUSE	Brip1	Brip1	58205.80043	57084.03796	57837.26093	56237.74592	54709.41315	55818.13379	46481.29489	45520.74725
tr|B2KF05|B2KF05_MOUSE	Brpf3	Brpf3	15108.44414	15070.58846	13897.35655	16035.23226	16422.86262	16818.72814	12871.42006	12832.83934
sp|Q04211|BTG2_MOUSE	Btg2	Btg2	59812.2803	53346.61536	68734.15343	68278.7975	47927.70439	53781.55581	51469.59928	40989.16783
sp|P01027|CO3_MOUSE	C3	C3	884393.018	888292.928	851147.6767	878834.3169	808322.9815	805038.9439	671183.605	594860.7112
sp|P13634|CAH1_MOUSE	Ca1	Ca1	168285.0078	169559.1601	174460.6761	168443.4845	131269.7471	125212.7197	57736.28816	58915.10591
tr|E9QA15|E9QA15_MOUSE	Cald1	Cald1	50060.59091	59596.57866	56083.15885	58502.81928	51343.66674	53553.85208	40931.23084	31031.86835
tr|Q99LB4|Q99LB4_MOUSE	Capg	Capg	1473055.258	1513032.053	1462528.168	1398142.221	1438233.561	1421172.749	1214167.28	1148003.476
sp|P24452|CAPG_MOUSE	Capg	Capg	1308771.294	1327273.588	1246428.616	1195200.396	1252193.138	1277912.123	1080936.168	1012276.436
sp|O08529|CAN2_MOUSE	Capn2	Capn2	220119.4785	223359.5663	215944.9001	210313.9572	214602.1627	209013.8995	176567.025	186240.7697
tr|E9PWH2|E9PWH2_MOUSE	Card6	Card6	54707.58232	57943.01198	53201.27829	54809.51355	55046.22734	54107.14095	46213.7804	44247.71671
sp|A2AIV8|CARD9_MOUSE	Card9	Card9	36530.27541	39950.11069	39177.1185	36177.06856	36079.91502	36329.45015	28171.31641	29879.13102
sp|P08074|CBR2_MOUSE	Cbr2	Cbr2	72320.78415	69770.29195	73873.15123	68248.06016	69660.00857	67498.51256	52332.44342	52301.34147
sp|Q4QRL3|CC88B_MOUSE	Ccdc88b	Ccdc88b	113186.9127	120806.2249	122422.6613	115865.4928	114776.7855	126163.7726	101895.5513	92647.99919
sp|Q640L3|CCPG1_MOUSE	Ccpg1	Ccpg1	37587.83707	34998.16303	37845.34531	37270.31986	39584.26628	40734.87893	34563.89348	31395.73463
sp|Q2VLH6|C163A_MOUSE	Cd163	Cd163	173702.5683	169046.5011	174434.6098	172211.7004	161449.8539	145559.3613	113388.1713	100976.5664
sp|Q8R2S8|CD177_MOUSE	Cd177	Cd177	355548.6271	383321.3848	376281.3448	386256.3352	367622.6293	368923.9566	272042.6001	277277.8063
sp|Q62192|CD180_MOUSE	Cd180	Cd180	72799.04528	73871.33245	78751.25149	78539.12638	73522.164	68706.16703	57557.83912	52128.88422
sp|P13379|CD5_MOUSE	Cd5	Cd5	17354.60393	15277.08987	19913.92333	20630.03831	17447.80971	21021.09439	14588.24264	11804.56248
sp|P31996|CD68_MOUSE	Cd68	Cd68	115398.7131	115965.1054	117856.8061	107542.8743	108027.4047	103609.0652	80290.11281	71024.64721
sp|P10300|CD8B_MOUSE	Cd8b	Cd8b	74795.4801	79225.89598	68142.64797	74192.21026	78028.77606	75962.12109	51158.05733	55447.2389
sp|O89103|C1QR1_MOUSE	Cd93	Cd93	521406.2389	502153.342	566116.2773	551009.5966	537325.5333	531526.9069	447839.5479	423686.7922
sp|Q8K389|CK5P2_MOUSE	Cdk5rap2	Cdk5rap2	71744.49765	74664.55944	76133.82599	72570.39791	69270.31625	64102.12487	57955.99734	57937.76612
sp|Q8CEQ0|CDKL1_MOUSE	Cdkl1	Cdkl1	196031.3965	170431.3983	211914.5191	198936.6828	207769.703	203302.2463	156128.0002	163795.4516
sp|Q60772|CDN2C_MOUSE	Cdkn2c	Cdkn2c	76031.55411	76173.53879	79246.61326	81935.88052	79236.59858	85176.55676	64453.47889	69799.86521
